Model,Test MSE,Test MAE
LightGBMLarge_BAG_L2,116.48176779007969,4.25384110630441
LightGBM_r130_BAG_L2,125.85919549087512,4.271040780447456
WeightedEnsemble_L3,117.06989976305312,4.263307386487967
CatBoost_r9_BAG_L2,119.06049690004845,4.259663878657814
XGBoost_BAG_L2,123.38957601239014,4.267791262615329
CatBoost_r13_BAG_L2,116.13734267038413,4.2640256710344975
XGBoost_r89_BAG_L2,121.78515051334956,4.275888033222283
LightGBM_r161_BAG_L2,119.10947233707955,4.264825665582641
LightGBM_r131_BAG_L2,119.14980956047282,4.270580010703027
CatBoost_BAG_L2,116.2991713380531,4.2655080024814485
XGBoost_r33_BAG_L2,121.61038529947507,4.263488377673645
CatBoost_r70_BAG_L2,117.23929704109672,4.259744217698134
CatBoost_r177_BAG_L2,116.1538552759728,4.263795175467423
LightGBM_BAG_L2,120.93754900639851,4.281831778038374
CatBoost_r167_BAG_L2,116.73597096352134,4.271620349962814
XGBoost_r98_BAG_L2,121.49761985596429,4.265211382419999
CatBoost_r69_BAG_L2,115.00933054468021,4.276145595486548
XGBoost_r194_BAG_L2,121.56410238135967,4.266775822118922
CatBoost_r137_BAG_L2,115.06942497170795,4.283210926897628
LightGBM_r96_BAG_L2,125.75244171768101,4.277796380485687
CatBoost_r50_BAG_L2,117.90720637934369,4.2768889193226665
WeightedEnsemble_L2,131.53214974766047,4.321998038772465
LightGBMXT_BAG_L2,121.7123850012799,4.284042996697252
LightGBM_r196_BAG_L2,117.95618182799254,4.2731535574400885
LightGBM_r188_BAG_L2,119.33563672930882,4.271518002368084
ExtraTrees_r172_BAG_L2,104.7706721984043,4.267875017248281
LightGBM_r130_BAG_L1,127.64254659906914,4.307962066491482
LightGBM_r161_BAG_L1,119.92883102234045,4.308896403368491
RandomForest_r39_BAG_L2,103.29598943365914,4.267554488442955
ExtraTrees_r42_BAG_L2,103.39661229139926,4.277147915079898
RandomForestMSE_BAG_L2,102.03991127004497,4.25890676827963
ExtraTreesMSE_BAG_L2,104.49633773561631,4.2729637807457195
LightGBM_r131_BAG_L1,122.76096929867845,4.327041047307494
CatBoost_r9_BAG_L1,125.44944429605052,4.316348883570907
RandomForest_r195_BAG_L2,103.71166326044761,4.271678646224365
CatBoost_r128_BAG_L1,126.19770054934737,4.31650337481112
XGBoost_r49_BAG_L1,120.5870911491075,4.330473345741289
LightGBM_BAG_L1,122.72736320476547,4.33249053719433
LightGBM_r15_BAG_L1,125.626615733337,4.348800799404439
CatBoost_r70_BAG_L1,120.88681778968115,4.329856731526187
XGBoost_r98_BAG_L1,125.59016097670174,4.337698148494993
CatBoost_r86_BAG_L1,122.89786064776081,4.319112910846257
CatBoost_r13_BAG_L1,124.56416973540136,4.330477276932675
CatBoost_r167_BAG_L1,123.25672124390123,4.3367783826440816
XGBoost_r89_BAG_L1,120.77990704418393,4.352406686081701
CatBoost_r143_BAG_L1,122.38253554270408,4.330606647928059
CatBoost_BAG_L1,125.29216048958475,4.355758340571153
CatBoost_r177_BAG_L1,123.05636634481606,4.343413228132077
LightGBM_r143_BAG_L1,119.87850022398925,4.326017257415869
XGBoost_r31_BAG_L1,123.2191160232988,4.36395799964099
CatBoost_r60_BAG_L1,122.67045683158342,4.353138161807838
XGBoost_BAG_L1,124.17161129895348,4.366153991997032
XGBoost_r194_BAG_L1,123.24881133665434,4.342257758738207
CatBoost_r69_BAG_L1,125.4930568767793,4.36403468005559
LightGBMLarge_BAG_L1,115.5946282494011,4.342434346554505
XGBoost_r33_BAG_L1,122.21483741913394,4.353881296060115
CatBoost_r50_BAG_L1,124.71085242164843,4.394139419515096
CatBoost_r49_BAG_L1,129.36124133574285,4.406101595016035
CatBoost_r5_BAG_L1,130.92243724646875,4.415151077592135
CatBoost_r137_BAG_L1,130.84388156860933,4.4176195776554446
LightGBM_r96_BAG_L1,130.13044902049384,4.370818128747973
LightGBMXT_BAG_L1,127.31397467094014,4.374624302536396
LightGBM_r94_BAG_L1,128.70113154438928,4.385953041105236
LightGBM_r30_BAG_L1,127.58043061227627,4.3850728786652295
LightGBM_r188_BAG_L1,122.39182657991284,4.377462576514602
LightGBM_r196_BAG_L1,122.49537729048566,4.381905512612855
RandomForest_r15_BAG_L1,115.85090239401259,4.496736741019695
RandomForest_r127_BAG_L1,108.93221058897862,4.4848506615939066
RandomForest_r39_BAG_L1,114.53706991433516,4.502753763368632
ExtraTrees_r172_BAG_L1,142.5174460163776,4.559755120110652
RandomForest_r34_BAG_L1,141.33040346977126,4.565718661109597
ExtraTrees_r178_BAG_L1,147.12684882215882,4.580232145343627
RandomForest_r195_BAG_L1,114.71732308816372,4.517120009500859
RandomForest_r166_BAG_L1,151.4244323636273,4.609022526337481
RandomForestMSE_BAG_L1,107.9603626345757,4.511489618308003
ExtraTreesMSE_BAG_L1,126.67440171850477,4.559529351664878
ExtraTrees_r42_BAG_L1,129.35332218161773,4.56288314429876
ExtraTrees_r4_BAG_L1,166.8783995288383,4.702844646788708
ExtraTrees_r49_BAG_L1,168.01447131398683,4.87502895298755
KNeighborsUnif_BAG_L1,179.933770664062,5.303897549458592
KNeighborsDist_BAG_L1,178.0817410365496,5.302121485777215
